" "	0x20	0.1513647642679901 
"e"	0x65	0.12158808933002481 
"t"	0x74	0.08436724565756824 
"u"	0x75	0.062034739454094295 
"s"	0x73	0.05955334987593052 
"a"	0x61	0.05707196029776675 
"n"	0x6e	0.05707196029776675 
"r"	0x72	0.04962779156327544 
"i"	0x69	0.04714640198511166 
"o"	0x6f	0.04218362282878412 
"l"	0x6c	0.03722084367245657 
"d"	0x64	0.02977667493796526 
"m"	0x6d	0.02977667493796526 
"p"	0x70	0.022332506203473945 
"."	0x2e	0.017369727047146403 
"c"	0x63	0.017369727047146403 
"'"	0x27	0.01240694789081886 
"x"	0x78	0.01240694789081886 
"é"	0xe9	0.01240694789081886 
"v"	0x76	0.009925558312655087 
"
"	0xa	0.007444168734491315 
"D"	0x44	0.007444168734491315 
"I"	0x49	0.007444168734491315 
"L"	0x4c	0.007444168734491315 
"b"	0x62	0.007444168734491315 
"q"	0x71	0.007444168734491315 
"C"	0x43	0.004962779156327543 
"g"	0x67	0.004962779156327543 
","	0x2c	0.0024813895781637717 
"f"	0x66	0.0024813895781637717 
"à"	0xe0	0.0024813895781637717 
"ç"	0xe7	0.0024813895781637717 
"è"	0xe8	0.0024813895781637717 
